name	accession	samplingDate	location
hCoV-19/Wuhan/IVDC-HB-01/2019|EPI_ISL_402119|2019-12-30	EPI_ISL_402119	2019-12-30	ChinaHubei
hCoV-19/Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|2020-01-01	EPI_ISL_402120	2020-01-01	ChinaHubei
hCoV-19/Wuhan/IVDC-HB-05/2019|EPI_ISL_402121|2019-12-30	EPI_ISL_402121	2019-12-30	ChinaHubei
hCoV-19/Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|2019-12-24	EPI_ISL_402123	2019-12-24	ChinaHubei
hCoV-19/Wuhan/WIV04/2019|EPI_ISL_402124|2019-12-30	EPI_ISL_402124	2019-12-30	ChinaHubei
hCoV-19/Wuhan/WIV02/2019|EPI_ISL_402127|2019-12-30	EPI_ISL_402127	2019-12-30	ChinaHubei
hCoV-19/Wuhan/WIV05/2019|EPI_ISL_402128|2019-12-30	EPI_ISL_402128	2019-12-30	ChinaHubei
hCoV-19/Wuhan/WIV06/2019|EPI_ISL_402129|2019-12-30	EPI_ISL_402129	2019-12-30	ChinaHubei
hCoV-19/Wuhan/WIV07/2019|EPI_ISL_402130|2019-12-30	EPI_ISL_402130	2019-12-30	ChinaHubei
hCoV-19/Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|2019-12-30	EPI_ISL_402132	2019-12-30	ChinaHubei
hCoV-19/Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|2020-01-01	EPI_ISL_403928	2020-01-01	ChinaHubei
hCoV-19/Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|2019-12-30	EPI_ISL_403929	2019-12-30	ChinaHubei
hCoV-19/Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|2019-12-30	EPI_ISL_403930	2019-12-30	ChinaHubei
hCoV-19/Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|2019-12-30	EPI_ISL_403931	2019-12-30	ChinaHubei
hCoV-19/Guangdong/20SF012/2020|EPI_ISL_403932|2020-01-14	EPI_ISL_403932	2020-01-14	ChinaGuangdong
hCoV-19/Guangdong/20SF013/2020|EPI_ISL_403933|2020-01-15	EPI_ISL_403933	2020-01-15	ChinaGuangdong
hCoV-19/Guangdong/20SF014/2020|EPI_ISL_403934|2020-01-15	EPI_ISL_403934	2020-01-15	ChinaGuangdong
hCoV-19/Guangdong/20SF025/2020|EPI_ISL_403935|2020-01-15	EPI_ISL_403935	2020-01-15	ChinaGuangdong
hCoV-19/Guangdong/20SF028/2020|EPI_ISL_403936|2020-01-17	EPI_ISL_403936	2020-01-17	ChinaGuangdong
hCoV-19/Guangdong/20SF040/2020|EPI_ISL_403937|2020-01-18	EPI_ISL_403937	2020-01-18	ChinaGuangdong
hCoV-19/Thailand/61/2020|EPI_ISL_403962|2020-01-08	EPI_ISL_403962	2020-01-08	Thailand
hCoV-19/Thailand/74/2020|EPI_ISL_403963|2020-01-13	EPI_ISL_403963	2020-01-13	Thailand
hCoV-19/Zhejiang/WZ-01/2020|EPI_ISL_404227|2020-01-16	EPI_ISL_404227	2020-01-16	ChinaZhejiang
hCoV-19/Zhejiang/WZ-02/2020|EPI_ISL_404228|2020-01-17	EPI_ISL_404228	2020-01-17	ChinaZhejiang
hCoV-19/USA/IL1/2020|EPI_ISL_404253|2020-01-21	EPI_ISL_404253	2020-01-21	USA
hCoV-19/USA/WA1/2020|EPI_ISL_404895|2020-01-19	EPI_ISL_404895	2020-01-19	USA
hCoV-19/Shenzhen/HKU-SZ-005/2020|EPI_ISL_405839|2020-01-11	EPI_ISL_405839	2020-01-11	ChinaGuangdong
hCoV-19/Taiwan/2/2020|EPI_ISL_406031|2020-01-23	EPI_ISL_406031	2020-01-23	Taiwan
hCoV-19/USA/CA-CDC-1/2020|EPI_ISL_406034|2020-01-23	EPI_ISL_406034	2020-01-23	USA
hCoV-19/USA/CA2/2020|EPI_ISL_406036|2020-01-22	EPI_ISL_406036	2020-01-22	USA
hCoV-19/USA/AZ1/2020|EPI_ISL_406223|2020-01-22	EPI_ISL_406223	2020-01-22	USA
hCoV-19/Guangdong/20SF174/2020|EPI_ISL_406531|2020-01-22	EPI_ISL_406531	2020-01-22	ChinaGuangdong
hCoV-19/Guangzhou/20SF206/2020|EPI_ISL_406533|2020-01-22	EPI_ISL_406533	2020-01-22	ChinaGuangdong
hCoV-19/Foshan/20SF207/2020|EPI_ISL_406534|2020-01-22	EPI_ISL_406534	2020-01-22	ChinaGuangdong
hCoV-19/Foshan/20SF210/2020|EPI_ISL_406535|2020-01-22	EPI_ISL_406535	2020-01-22	ChinaGuangdong
hCoV-19/Foshan/20SF211/2020|EPI_ISL_406536|2020-01-22	EPI_ISL_406536	2020-01-22	ChinaGuangdong
