intraContDist,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHongKong,ChinaHubei,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
Australia,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Belgium,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,7.50258687,6.222189382999999,6.055236217,1e-05,7.041384289,1e-05,4.947726533999999,1e-05,1e-05,1e-05,1e-05,1e-05,7.367486681,1e-05,1e-05,7.237319707999999,6.202433997999999,1e-05,1e-05,6.629387167999999,1e-05,1e-05
Brazil,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Cambodia,1e-05,1e-05,1e-05,0.0,1e-05,7.785598597,8.091816883,7.542155064999999,7.627576092999999,7.324892966,7.28373939,7.674797807,7.9147525729999995,7.558457612999999,7.97242013,7.591241722,7.228943312999999,7.781163541,1e-05,1e-05,1e-05,7.975686916,1e-05,8.351202863,1e-05,1e-05,7.933119942,1e-05,1e-05,1e-05,1e-05,7.133748918999999,8.14762779,1e-05,1e-05,7.644736163999999,6.339117862999999,1e-05,1e-05,5.97231432
Canada,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,8.196067162,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,7.723809317,1e-05
ChinaAnhui,1e-05,1e-05,1e-05,7.785598597,1e-05,0.0,6.986975242999999,6.973376017999999,6.1264195,6.805145002999999,6.9013704879999995,6.298998914999999,5.807343438999999,6.192356595,6.377736627,7.278621718999999,7.477997777,5.489446715,1e-05,1e-05,1e-05,8.304089408,1e-05,7.5922315849999995,1e-05,1e-05,8.092038677,1e-05,1e-05,1e-05,1e-05,8.18202062,6.992124963999999,1e-05,1e-05,6.714324272,7.773328922999999,1e-05,1e-05,7.643719237
ChinaBeijing,1e-05,1e-05,1e-05,8.091816883,1e-05,6.986975242999999,0.0,7.293102729999999,7.337810489,7.543699236,7.601832602999999,7.017594542,6.74566913,7.291184207,6.224964282,7.405199166,7.712165841,7.1512214279999995,1e-05,1e-05,1e-05,8.32922484,1e-05,7.585716081,1e-05,1e-05,8.072885526,1e-05,1e-05,1e-05,1e-05,8.412237759,7.018892312,1e-05,1e-05,7.5452232509999995,8.034016713,1e-05,1e-05,8.010438968999999
ChinaChongqing,1e-05,1e-05,1e-05,7.542155064999999,1e-05,6.973376017999999,7.293102729999999,0.0,7.0296730489999995,6.864795137999999,6.978214189999999,6.277727632,7.1625167649999995,6.715110888999999,7.135096507,6.008133712999999,6.659011408,7.129777207,1e-05,1e-05,1e-05,7.997571507,1e-05,8.009590173,1e-05,1e-05,7.7041801659999996,1e-05,1e-05,1e-05,1e-05,8.051802899,7.637965672,1e-05,1e-05,7.335777781,7.393220116,1e-05,1e-05,7.447284222999999
ChinaFujian,1e-05,1e-05,1e-05,7.627576092999999,1e-05,6.1264195,7.337810489,7.0296730489999995,0.0,6.2976862670000004,6.395456192999999,6.591807026,6.635504198,5.727707924,6.953099591,7.337187288999999,7.425476054,5.851545703999999,1e-05,1e-05,1e-05,8.296620947000001,1e-05,7.698860047,1e-05,1e-05,8.111220621,1e-05,1e-05,1e-05,1e-05,8.063136225,7.246713212999999,1e-05,1e-05,6.075753889,7.655268266,1e-05,1e-05,7.442826502
ChinaGuangdong,1e-05,1e-05,1e-05,7.324892966,1e-05,6.805145002999999,7.543699236,6.864795137999999,6.2976862670000004,0.0,4.8280430789999995,6.72389495,7.118671817999999,6.059197277,7.2780309249999995,7.1918942779999995,7.145058387999999,6.777755397,1e-05,1e-05,1e-05,8.186771504,1e-05,7.918605962999999,1e-05,1e-05,8.009409661,1e-05,1e-05,1e-05,1e-05,7.891234981,7.569397742999999,1e-05,1e-05,6.599173994999999,7.362264929999999,1e-05,1e-05,7.0784734270000005
