flight_matrix,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHenan,ChinaHongKong,ChinaHubei,ChinaHunan,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Iran,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
Australia,0,70.35001,348.60001,288.26001,1197.24001,19.18001,1307.24001,51.25001,257.93001,954.24001,99.33001,4162.52001,111.08001,68.11001,214.16001,20.58001,193.86001,147.73001,59.19001,183.62001,114.82001,968.16001,1022.88001,3332.44001,0.70001,679.42001,3614.52001,3.25001,78.96001,188.77001,379.94001,13152.19001,22.73001,47.24001,7005.17001,1690.47001,223.19001,453.33001,835.78001,3987.70001,5214.63001,7401.82001,1701.31001
Belgium,70.35001,0,155.60001,8.50001,209.72001,1.08001,117.51001,1.32001,6.24001,10.55001,0.33001,61.90001,1.37001,1.68001,4.32001,0.02001,0.85001,4.25001,0.79001,14.17001,368.12001,2833.54001,2568.01001,422.31001,1.60001,6419.02001,98.79001,0.68001,120.01001,16.58001,95.78001,13.20001,23.08001,960.52001,43.87001,26.93001,799.84001,2247.82001,12.71001,543.23001,2937.36001,2103.21001,21.12001
Brazil,348.60001,155.60001,0,0.97001,663.26001,0.50001,156.73001,7.03001,10.23001,49.71001,0.23001,118.63001,4.01001,0.23001,6.93001,0.05001,1.99001,2.71001,0.21001,10.71001,50.81001,2114.31001,1376.67001,192.53001,0.74001,2112.13001,302.40001,15.60001,1574.13001,3.36001,415.46001,77.91001,12.87001,1981.42001,96.87001,224.29001,179.88001,830.19001,31.65001,80.54001,1565.56001,15536.10001,6.01001
Cambodia,288.26001,8.50001,0.97001,0,57.85001,3.10001,188.52001,16.20001,93.33001,370.98001,9.41001,304.19001,20.13001,12.16001,10.45001,4.55001,18.68001,77.02001,220.95001,39.02001,2.23001,271.81001,62.90001,55.44001,1.00E-05,27.20001,724.10001,0.71001,0.90001,0.31001,15.55001,35.01001,0.19001,0.68001,795.08001,1913.78001,12.32001,32.40001,313.37001,2027.96001,82.94001,54.11001,3331.46001
Canada,1197.24001,209.72001,663.26001,57.85001,0,3.50001,1202.67001,15.76001,87.48001,282.52001,13.84001,1636.11001,21.46001,10.54001,8.50001,2.41001,32.90001,53.69001,12.98001,13.02001,57.15001,2063.37001,1062.62001,3276.24001,2.62001,562.67001,968.18001,19.52001,11740.83001,16.87001,399.85001,346.64001,96.85001,276.68001,204.79001,846.80001,143.49001,541.66001,390.92001,558.23001,3160.06001,61316.10001,471.01001
ChinaAnhui,19.18001,1.08001,0.50001,3.10001,3.50001,0,1912.70001,768.68001,1450.59001,3697.55001,107.01001,85.75001,0.11001,460.98001,2.47001,35.94001,472.71001,740.44001,811.36001,103.61001,1.00E-05,3.36001,3.02001,1.32001,1.00E-05,1.53001,26.25001,1.00E-05,0.07001,1.26001,0.82001,0.99001,1.00E-05,1.00E-05,64.87001,125.15001,0.28001,0.23001,370.79001,87.37001,4.43001,12.85001,5.49001
ChinaBeijing,1307.24001,117.51001,156.73001,188.52001,1202.67001,1912.70001,0,5018.57001,6408.23001,20929.60001,2186.81001,5068.04001,5357.52001,4711.19001,3500.52001,2976.95001,6241.43001,9894.98001,5616.77001,10885.51001,121.57001,815.64001,1234.26001,343.51001,1.33001,608.91001,2834.19001,4.82001,28.75001,41.92001,267.81001,224.04001,113.38001,32.95001,2140.79001,4033.13001,151.92001,278.54001,2401.50001,2749.90001,1148.37001,5042.66001,452.04001
ChinaChongqing,51.25001,1.32001,7.03001,16.20001,15.76001,768.68001,5018.57001,0,2635.55001,11557.53001,1165.41001,461.38001,1745.39001,1561.24001,2308.96001,645.06001,1797.19001,178.37001,4752.36001,3188.01001,32.16001,21.31001,27.44001,15.73001,0.70001,16.25001,73.07001,1.00E-05,0.43001,0.91001,2.49001,13.91001,2.12001,0.65001,204.11001,83.40001,7.92001,5.79001,546.95001,483.61001,35.89001,76.78001,25.29001
ChinaFujian,257.93001,6.24001,10.23001,93.33001,87.48001,1450.59001,6408.23001,2635.55001,0,9284.50001,2047.65001,2536.17001,2450.20001,3118.85001,3278.84001,1765.52001,2769.18001,2238.79001,2224.30001,3767.16001,1.18001,19.48001,51.62001,38.87001,1.00E-05,36.16001,900.78001,1.00E-05,0.25001,2.53001,19.97001,24.73001,0.05001,1.47001,850.10001,336.43001,3.69001,7.53001,1998.69001,325.88001,157.82001,188.73001,58.07001
ChinaGuangdong,954.24001,10.55001,49.71001,370.98001,282.52001,3697.55001,20929.60001,11557.53001,9284.50001,0,6030.94001,406.58001,5583.09001,2520.45001,9006.30001,4697.37001,7427.44001,14388.54001,6606.92001,18588.76001,2.29001,160.20001,153.33001,354.80001,0.77001,97.89001,1114.95001,0.45001,16.78001,70.49001,46.30001,169.87001,134.46001,7.00001,2200.96001,1882.81001,13.48001,22.49001,2689.56001,2468.84001,252.70001,942.79001,1228.23001
