intra_cont_dist,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHenan,ChinaHongKong,ChinaHubei,ChinaHunan,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Iran,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
Australia,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
Belgium,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.50258687,6.222189383,6.055236217,1.00E-05,1.00E-05,7.041384289,1.00E-05,4.947726534,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.367486681,1.00E-05,1.00E-05,7.237319708,6.202433998,1.00E-05,1.00E-05,6.629387168,1.00E-05,1.00E-05
Brazil,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
Cambodia,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,7.785598597,8.091816883,7.542155065,7.627576093,7.324892966,7.847840674,7.28373939,7.674797807,7.506836612,7.914752573,7.558457613,7.97242013,7.591241722,7.228943313,7.781163541,1.00E-05,1.00E-05,1.00E-05,7.975686916,8.639617732,1.00E-05,8.351202863,1.00E-05,1.00E-05,7.933119942,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.133748919,8.14762779,1.00E-05,1.00E-05,7.644736164,6.339117863,1.00E-05,1.00E-05,5.97231432
Canada,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.196067162,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.723809317,1.00E-05
ChinaAnhui,1.00E-05,1.00E-05,1.00E-05,7.785598597,1.00E-05,0,6.986975243,6.973376018,6.1264195,6.805145003,6.382647298,6.901370488,6.298998915,6.515931648,5.807343439,6.192356595,6.377736627,7.278621719,7.477997777,5.489446715,1.00E-05,1.00E-05,1.00E-05,8.304089408,8.699004746,1.00E-05,7.592231585,1.00E-05,1.00E-05,8.092038677,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.18202062,6.992124964,1.00E-05,1.00E-05,6.714324272,7.773328923,1.00E-05,1.00E-05,7.643719237
ChinaBeijing,1.00E-05,1.00E-05,1.00E-05,8.091816883,1.00E-05,6.986975243,0,7.29310273,7.337810489,7.543699236,6.561842107,7.601832603,7.017594542,7.285348866,6.74566913,7.291184207,6.224964282,7.405199166,7.712165841,7.151221428,1.00E-05,1.00E-05,1.00E-05,8.32922484,8.622273085,1.00E-05,7.585716081,1.00E-05,1.00E-05,8.072885526,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.412237759,7.018892312,1.00E-05,1.00E-05,7.545223251,8.034016713,1.00E-05,1.00E-05,8.010438969
ChinaChongqing,1.00E-05,1.00E-05,1.00E-05,7.542155065,1.00E-05,6.973376018,7.29310273,0,7.029673049,6.864795138,6.703538738,6.97821419,6.277727632,6.25974841,7.162516765,6.715110889,7.135096507,6.008133713,6.659011408,7.129777207,1.00E-05,1.00E-05,1.00E-05,7.997571507,8.524214492,1.00E-05,8.009590173,1.00E-05,1.00E-05,7.704180166,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.051802899,7.637965672,1.00E-05,1.00E-05,7.335777781,7.393220116,1.00E-05,1.00E-05,7.447284223
ChinaFujian,1.00E-05,1.00E-05,1.00E-05,7.627576093,1.00E-05,6.1264195,7.337810489,7.029673049,0,6.297686267,6.878295226,6.395456193,6.591807026,6.420144064,6.635504198,5.727707924,6.953099591,7.337187289,7.425476054,5.851545704,1.00E-05,1.00E-05,1.00E-05,8.296620947,8.726296657,1.00E-05,7.698860047,1.00E-05,1.00E-05,8.111220621,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.063136225,7.246713213,1.00E-05,1.00E-05,6.075753889,7.655268266,1.00E-05,1.00E-05,7.442826502
ChinaGuangdong,1.00E-05,1.00E-05,1.00E-05,7.324892966,1.00E-05,6.805145003,7.543699236,6.864795138,6.297686267,0,7.10156753,4.828043079,6.72389495,6.233303423,7.118671818,6.059197277,7.278030925,7.191894278,7.145058388,6.777755397,1.00E-05,1.00E-05,1.00E-05,8.186771504,8.684996999,1.00E-05,7.918605963,1.00E-05,1.00E-05,8.009409661,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.891234981,7.569397743,1.00E-05,1.00E-05,6.599173995,7.36226493,1.00E-05,1.00E-05,7.078473427
ChinaHenan,1.00E-05,1.00E-05,1.00E-05,7.847840674,1.00E-05,6.382647298,6.561842107,6.703538738,6.878295226,7.10156753,0,7.19545111,6.01452198,6.627035901,6.407027752,6.701973428,6.109371387,6.993701625,7.374660341,6.725386306,1.00E-05,1.00E-05,1.00E-05,8.215755299,8.606284799,1.00E-05,7.724133009,1.00E-05,1.00E-05,7.953072923,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.241433134,7.185166957,1.00E-05,1.00E-05,7.235844319,7.780525873,1.00E-05,1.00E-05,7.743957826
ChinaHongKong,1.00E-05,1.00E-05,1.00E-05,7.28373939,1.00E-05,6.901370488,7.601832603,6.97821419,6.395456193,4.828043079,7.19545111,0,6.862289742,6.452573672,7.188131839,6.282959895,7.347642286,7.268977138,7.193075592,6.850428792,1.00E-05,1.00E-05,1.00E-05,8.199860989,8.699515875,1.00E-05,7.93292176,1.00E-05,1.00E-05,8.034325401,1.00E-05,1.00E-05,1.00E-05,1.00E-05,7.857929303,7.602177623,1.00E-05,1.00E-05,6.567636864,7.351232678,1.00E-05,1.00E-05,7.011395206
ChinaHubei,1.00E-05,1.00E-05,1.00E-05,7.674797807,1.00E-05,6.298998915,7.017594542,6.277727632,6.591807026,6.72389495,6.01452198,6.862289742,0,5.852411731,6.634206211,6.177325817,6.658497524,6.807961164,7.153475151,6.618349279,1.00E-05,1.00E-05,1.00E-05,8.161948575,8.608450212,1.00E-05,7.816065571,1.00E-05,1.00E-05,7.910032951,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.127359682,7.346551905,1.00E-05,1.00E-05,7.059541018,7.60587377,1.00E-05,1.00E-05,7.54876942
